Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev
1	0.6147802	0.0008513088158829409	0.6172206	0.00303929174315332	0.616298	0.0005969061902845174
2	0.3910708	0.1846964536508484	0.3460588	0.02958821748939939	0.3098976	0.002144611223508821
3	0.21096180000000003	0.0014689462890112776	0.2116692	0.0003916314594105049	0.2660438	0.12003435023858794
4	0.24379699999999999	0.11137213194286981	0.2432426	0.11178477676007587	0.27223220000000004	0.10251636622851983
5	0.29552560000000005	0.0006083410227824577	0.29518140000000004	0.001333108135148835	0.295114	0.002086498142822091
6	0.2464854	0.000530017263869778	0.249283	0.005798858637697599	0.248241	0.0032947051461397797
7	0.21445240000000002	0.0005942022382993874	0.2175958	0.0011468673419362861	0.21645340000000002	0.0017739916290670547
8	0.1926812	0.0024819182500638503	0.1937828	0.0019574141615917684	0.1970656	0.003930970656212025
