Thread count 	 glib 	 hoard 	 tcmalloc
1	21580452.0	36104985.0	40949274.0
2	44910983.0	67488628.0	74500298.0
3	60116063.0	94615767.0	105957968.0
4	77006587.0	120156998.0	128598851.0
5	80173740.0	132575073.0	143080419.0
6	86339967.0	143923904.0	160509319.0
7	89836693.0	159609881.0	178420930.0
8	93020266.0	170295518.0	191388952.0
