Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev
1	1.230826	0.0012272041394975428	1.230874	0.0010766057774320157	1.2356859999999998	0.007006327854161559
2	0.6166418	0.0011355979482193814	0.6166836	0.00041911669019495965	4.679268	0.35618073020588875
3	0.6222798	0.2776149078340355	0.4214942	0.0010224290684443568	5.409394000000001	1.2535194061042694
4	0.5693944	0.2242038705515585	0.6518514	0.18068937630724172	4.538016	0.6866803156709823
5	0.5526022	0.08138880432344489	0.5591888	0.06246910453736313	4.688722	0.34691605550911025
6	0.4934388	0.0017083498470746442	0.4911852	0.06817134886226031	4.2725859999999996	0.5180056746117748
7	0.4296774	0.0046801065479324284	0.43026400000000004	0.003833074027461512	4.275054	0.2971475028163621
8	0.3831926	0.0026340446655286676	0.38414479999999995	0.00255819227189826	3.988482	0.44242568242587377
