Thread count 	 glib 	 hoard 	 tcmalloc
1	22508045.0	38951070.0	41308935.0
2	46125562.0	61672926.0	62281398.0
3	65280850.0	82571836.0	83869229.0
4	78479171.0	101606860.0	100762222.0
5	83312087.0	115938824.0	115609105.0
6	91383249.0	132897614.0	135629809.0
7	96574407.0	150281008.0	155637879.0
8	100245899.0	170555587.0	178150528.0
