Thread count 	 glib 	 hoard 	 tcmalloc
1	22498045.0	39054118.0	41127662.0
2	46162421.0	61594410.0	63013612.0
3	65263493.0	82806684.0	83399555.0
4	78484551.0	102486247.0	102203262.0
5	81153757.0	117026955.0	116979808.0
6	91706157.0	132508402.0	136676919.0
7	96316360.0	151637679.0	152298037.0
8	101097527.0	166349239.0	178650419.0
