Thread count 	 glib 	 hoard 	 tcmalloc
1	23665955.0	37533725.0	40925536.0
2	47607288.0	61041446.0	63941326.0
3	66586548.0	86668717.0	85283910.0
4	80958661.0	103702907.0	100941425.0
5	82224040.0	123720520.0	122602874.0
6	91263918.0	144382346.0	145656072.0
7	94801985.0	158845045.0	169773598.0
8	100388278.0	176336214.0	192499660.0
